simname,binave,mbias,merr,cbias,cerr
basicCenter,25.5,2.6932349771654116e-06,0.0,1.727043468995726e-07,0.0
basicCenter,24.9,-0.00027232726062230894,0.0,2.3411677611540478e-07,0.0
basicCenter,24.3,-0.00013897267150178122,0.0,3.038581544553979e-07,0.0
basicCenter,23.7,-0.0003883745542843561,0.0,3.924562072778472e-07,0.0
basicCenter,23.1,-0.0003883745542843561,0.0,3.924562072778472e-07,0.0
basicCenter,22.5,-0.0003883745542843561,0.0,3.924562072778472e-07,0.0
